,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,bookImageURL
0,1,1,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽,허블,2019,9791190090018,03810,,813.7,문학 > 한국문학 > 소설,461,https://image.aladin.co.kr/product/19359/16/cover/s972635417_1.jpg
2,3,3,지구에서 한아뿐 :정세랑 장편소설 ,지은이: 정세랑,난다,2019,9791188862290,03810,,813.7,문학 > 한국문학 > 소설,383,https://image.aladin.co.kr/product/19804/82/cover/k072635131_1.jpg
8,9,9,선량한 차별주의자 ,김지혜 지음,창비,2019,9788936477196,03300,,334.0,"사회과학 > 사회학, 사회문제 > 사회문제",293,https://image.aladin.co.kr/product/19874/76/cover/8936477196_1.jpg
11,12,12,일의 기쁨과 슬픔 :장류진 소설집 ,지은이: 장류진,창비,2019,9788936438036,03810,,813.7,문학 > 한국문학 > 소설,259,https://image.aladin.co.kr/product/21292/13/cover/8936438034_1.jpg
18,19,19,나는 소망한다 내게 금지된 것을 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2019,9788998441074,03810,,813.62,문학 > 한국문학 > 소설,219,https://image.aladin.co.kr/product/18936/52/cover/8998441071_1.jpg
20,21,21,팩트풀니스 :우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유 ,"지은이: 한스 로슬링,옮긴이: 이창신",김영사,2019,9788934985068,03300,,331.1,"사회과학 > 사회학, 사회문제 > 사회학",211,https://image.aladin.co.kr/product/18456/45/cover/8934985062_1.jpg
21,22,22,역사의 쓸모 :자유롭고 떳떳한 삶을 위한 22가지 통찰 ,최태성 지음,다산북스,2019,9791130621968,03900,,904.0,"역사 > 역사 > 강연집, 사평",209,https://image.aladin.co.kr/product/19433/93/cover/k152635416_1.jpg
27,28,28,여행의 이유 :김영하 산문 ,지은이: 김영하,문학동네,2019,9788954655972,03810,,816.62,"문학 > 한국문학 > 일기, 서간, 기행",192,https://image.aladin.co.kr/product/18827/60/cover/8954655971_2.jpg
41,42,42,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 ,제임스 클리어 지음 ;이한이 옮김,비즈니스북스,2019,9791162540640,03190,,181.845,철학 > 심리학 > 각론,167,https://image.aladin.co.kr/product/18228/51/cover/k832534441_1.jpg
61,62,62,대도시의 사랑법 :박상영 연작소설 ,지은이: 박상영,창비,2019,9788936437978,03810,,813.7,문학 > 한국문학 > 소설,134,https://image.aladin.co.kr/product/19543/91/cover/8936437976_1.jpg
78,79,77,나는 내 파이를 구할 뿐 인류를 구하러 온 게 아니라고 :자기 몫을 되찾고 싶은 여성들을 위한 야망 에세이 ,김진아 지음,바다출판사,2019,9791189932084,03800,,337.2,"사회과학 > 사회학, 사회문제 > 여성문제",124,https://image.aladin.co.kr/product/18813/61/cover/k702635782_1.jpg
86,87,87,철학은 어떻게 삶의 무기가 되는가 :불확실한 삶을 돌파하는 50가지 생각 도구 ,야마구치 슈 지음 ;김윤경 옮김,다산북스,2019,9791130620459,03100,,100.0,철학 > 철학 > 철학,119,https://image.aladin.co.kr/product/17942/89/cover/k862534136_1.jpg
87,88,88,디디의 우산 :황정은 연작소설 ,지은이: 황정은,창비,2019,9788936437541,03810,,813.7,문학 > 한국문학 > 소설,118,https://image.aladin.co.kr/product/17729/72/cover/8936437542_1.jpg
94,95,94,오늘은 이만 좀 쉴게요 ,지은이: 손힘찬 ;삽화: 이다영,부크럼 출판사,2019,9791162141786,03800,,818.0,문학 > 한국문학 > 르포르타주 및 기타,114,https://image.aladin.co.kr/product/16316/9/cover/k972533342_1.jpg
103,104,102,지쳤거나 좋아하는 게 없거나 ,글배우 지음,강한별,2019,9791196797706,03810,,818.0,문학 > 한국문학 > 르포르타주 및 기타,108,https://bookthumb-phinf.pstatic.net/cover/154/693/15469316.jpg?type=m1&udate=20190911
